file,blockType,key,legacySection,font,fontStyle,fontSize,bold,italic,legacyFontId,legacyFontComment,knownFontCatalogEntry,needsReview
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiText,game.buttonlayout1600.text.help,HelpText,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.default_attack_defunct,Button0,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.short_range_attack_defunct,Button1,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.medium_attack_defunct,Button2,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.l_attack_defunct,Button3,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.jump,Button4,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.run,Button5,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.guard,Button6,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.fire_from_current_pos,Button7,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.stop,Button8,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.info,Button9,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.objectives,Button10,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.pause_button_com_palette,Button11,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.tac_map_tab,Button12,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.info_tab,Button13,Agency Regular,Regular,14,false,false,,,true,false
