file,key,legacySection,legacyComment,rect,textKey,visibleText,textLegacyId,textLegacySymbol,textAlign,textAnchor,hasTextRect,font,fontStyle,fontSize,needsReview
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.l_attack_defunct,Button3,l attack DEFUNCT,"1240,1071,64,40",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.jump,Button4,jump,"1239,1035,64,59",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.run,Button5,run,"1173,1035,64,59",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.guard,Button6,guard,"1173,1096,64,59",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.fire_from_current_pos,Button7,fire from current pos,"1173,1158,42,36",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.stop,Button8,stop,"1239,1096,64,59",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.info,Button9,info,"1217,996,42,36",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.objectives,Button10,objectives,"1173,996,42,36",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.pause_button_com_palette,Button11,PAUSE BUTTON - COM PALETTE,"1261,996,42,36",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.tac_map_tab,Button12,tac map tab,"288,933,72,47",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.info_tab,Button13,info tab,"438,933,72,47",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.support_tab,Button14,support tab,"363,933,72,47",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.minelayer,Button15,minelayer,"1261,1158,42,36",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.repair,Button16,repair,"1261,1158,42,36",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.salvage,Button17,salvage,"1261,1158,42,36",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.artillery_piece_supression_fire,Button18,artillery piece supression fire,"1261,1158,42,36",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.hold_position,Button19,hold position,"1217,1158,42,36",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.button,ScrollButton,,"475,1052,16,14",,,,,center,center,false,Agency Regular,Regular,14,false
